"Sector","Pillar","Country","Value","Rank"
"General Enabling Environment","Socio-economic","Azerbaijan",61.86531135,48
"Economy","Economic openness","Bahrain",59.57394123,12
"Pre-University Education","Educational enabling environment","Bahrain",66.16035042,37
"Technical and Vocational Education and Training","Features of the labour market","Bahrain",50.98357563,68
"Economy","Financing and value added","Bahrain",50.77284479,34
"Technical and Vocational Education and Training","Formation and professional training","Bahrain",67.52408735,15
"General Enabling Environment","Health and environment","Bahrain",66.58842595,96
"Higher Education","Higher education inputs","Bahrain",46.42685507,65
"Higher Education","Higher education outputs and quality","Bahrain",42.3219583,49
"Information and Communications Technology","ICT inputs","Bahrain",66.6573215,42
"Information and Communications Technology","ICT outputs","Bahrain",58.73943884,35
"Research, Development and Innovation","Innovation in production","Bahrain",25.36734087,68
"Pre-University Education","Knowledge capital","Bahrain",58.65278481,55
"Economy","Knowledge competitiveness","Bahrain",55.66440493,37
"General Enabling Environment","Political and institutional","Bahrain",45.93108377,75
"Research, Development and Innovation","Research and development","Bahrain",11.6848849,109
"Research, Development and Innovation","Social innovation","Bahrain",27.0532292,56
"General Enabling Environment","Socio-economic","Bahrain",59.8086751,62
"Economy","Economic openness","Bangladesh",32.43790894,106
"Pre-University Education","Educational enabling environment","Bangladesh",27.73688368,129
"Technical and Vocational Education and Training","Features of the labour market","Bangladesh",60.11535662,37
"Economy","Financing and value added","Bangladesh",31.08717936,101
"Technical and Vocational Education and Training","Formation and professional training","Bangladesh",41.00205888,106
"General Enabling Environment","Health and environment","Bangladesh",70.55318781,76
"Higher Education","Higher education inputs","Bangladesh",28.26976902,128
"Higher Education","Higher education outputs and quality","Bangladesh",23.57785433,112
"Information and Communications Technology","ICT inputs","Bangladesh",39.73894564,113
"Information and Communications Technology","ICT outputs","Bangladesh",32.67412562,101
"Research, Development and Innovation","Innovation in production","Bangladesh",22.14365007,83
"Pre-University Education","Knowledge capital","Bangladesh",52.93367789,77
"Economy","Knowledge competitiveness","Bangladesh",35.88563741,120
"General Enabling Environment","Political and institutional","Bangladesh",24.16033333,126
"Research, Development and Innovation","Research and development","Bangladesh",12.94579496,101
"Research, Development and Innovation","Social innovation","Bangladesh",8.985154678,120
"General Enabling Environment","Socio-economic","Bangladesh",41.57591717,118
"Economy","Economic openness","Barbados",46.13828175,57
"Pre-University Education","Educational enabling environment","Barbados",62.00932353,54
"Technical and Vocational Education and Training","Features of the labour market","Barbados",52.03154611,62
"Economy","Financing and value added","Barbados",34.8341713,87
"Technical and Vocational Education and Training","Formation and professional training","Barbados",37.50281595,114
"General Enabling Environment","Health and environment","Barbados",73.9841318,64
"Higher Education","Higher education inputs","Barbados",27.32873677,130
"Higher Education","Higher education outputs and quality","Barbados",19.43967696,121
"Information and Communications Technology","ICT inputs","Barbados",61.85173692,58
"Information and Communications Technology","ICT outputs","Barbados",55.09640049,43
"Research, Development and Innovation","Innovation in production","Barbados",47.14239837,24
"Pre-University Education","Knowledge capital","Barbados",68.28073435,26
"Economy","Knowledge competitiveness","Barbados",43.48807348,87
"General Enabling Environment","Political and institutional","Barbados",71.09091122,35
"Research, Development and Innovation","Social innovation","Barbados",14.30051506,106
"General Enabling Environment","Socio-economic","Barbados",59.12808811,65
"Economy","Economic openness","Belarus",47.31412428,52
"Pre-University Education","Educational enabling environment","Belarus",67.65445085,29
"Technical and Vocational Education and Training","Features of the labour market","Belarus",25.3041694,135
"Economy","Financing and value added","Belarus",41.57887223,63
"Technical and Vocational Education and Training","Formation and professional training","Belarus",55.59897919,37
"General Enabling Environment","Health and environment","Belarus",72.47798997,71
"Higher Education","Higher education inputs","Belarus",33.08208987,119
"Higher Education","Higher education outputs and quality","Belarus",46.06620115,40
"Information and Communications Technology","ICT inputs","Belarus",77.50372122,17
"Information and Communications Technology","ICT outputs","Belarus",56.49145139,41
"Research, Development and Innovation","Innovation in production","Belarus",27.6041894,58
"Pre-University Education","Knowledge capital","Belarus",68.17821127,27
"Economy","Knowledge competitiveness","Belarus",44.48402816,79
"General Enabling Environment","Political and institutional","Belarus",40.12627855,91
"Research, Development and Innovation","Research and development","Belarus",20.22260926,62
"Research, Development and Innovation","Social innovation","Belarus",12.55086508,111
"General Enabling Environment","Socio-economic","Belarus",68.49059787,25
"Economy","Economic openness","Belgium",56.0430422,22
"Pre-University Education","Educational enabling environment","Belgium",77.25927045,3
"Technical and Vocational Education and Training","Features of the labour market","Belgium",66.46600919,21
"Economy","Financing and value added","Belgium",52.67242406,32
"Technical and Vocational Education and Training","Formation and professional training","Belgium",78.41045603,6
"General Enabling Environment","Health and environment","Belgium",81.14291154,31
"Higher Education","Higher education inputs","Belgium",54.63888977,25
"Higher Education","Higher education outputs and quality","Belgium",57.64011748,15
"Information and Communications Technology","ICT inputs","Belgium",73.540852,24
"Information and Communications Technology","ICT outputs","Belgium",68.10951012,26
"Research, Development and Innovation","Innovation in production","Belgium",53.36898057,20
"Pre-University Education","Knowledge capital","Belgium",70.03041236,19
"Economy","Knowledge competitiveness","Belgium",60.50602172,23
"General Enabling Environment","Political and institutional","Belgium",79.4843066,21
"Research, Development and Innovation","Research and development","Belgium",50.32218461,15
"Research, Development and Innovation","Social innovation","Belgium",28.7548074,50
"General Enabling Environment","Socio-economic","Belgium",71.81521608,12
"Economy","Economic openness","Belize",19.77789102,129
"Pre-University Education","Educational enabling environment","Belize",54.7239972,89
"Technical and Vocational Education and Training","Features of the labour market","Belize",63.02268994,32
"Economy","Financing and value added","Belize",34.49161634,90
"Technical and Vocational Education and Training","Formation and professional training","Belize",27.72294386,127
"General Enabling Environment","Health and environment","Belize",71.43874694,72
"Higher Education","Higher education inputs","Belize",39.62514088,97
"Higher Education","Higher education outputs and quality","Belize",23.96600587,111
"Information and Communications Technology","ICT inputs","Belize",43.05918239,107
"Information and Communications Technology","ICT outputs","Belize",24.71724017,118
"Research, Development and Innovation","Innovation in production","Belize",13.06586886,117
"Pre-University Education","Knowledge capital","Belize",50.27414836,84
"Economy","Knowledge competitiveness","Belize",38.04095443,109
"General Enabling Environment","Political and institutional","Belize",40.6380884,88
"Research, Development and Innovation","Research and development","Belize",15.03830927,83
"Research, Development and Innovation","Social innovation","Belize",6.781981083,129
"General Enabling Environment","Socio-economic","Belize",46.08720261,106
"Economy","Economic openness","Benin",27.17756578,123
"Pre-University Education","Educational enabling environment","Benin",30.31136459,124
"Technical and Vocational Education and Training","Features of the labour market","Benin",72.77910877,11
"Economy","Financing and value added","Benin",27.28832682,110
"Technical and Vocational Education and Training","Formation and professional training","Benin",36.97249712,116
"General Enabling Environment","Health and environment","Benin",35.52133988,133
"Higher Education","Higher education inputs","Benin",29.42171568,127
"Higher Education","Higher education outputs and quality","Benin",20.28390454,118
"Information and Communications Technology","ICT inputs","Benin",29.63285729,124
"Information and Communications Technology","ICT outputs","Benin",24.83538673,116
"Research, Development and Innovation","Innovation in production","Benin",12.9503987,118
"Pre-University Education","Knowledge capital","Benin",41.46312014,107
"Economy","Knowledge competitiveness","Benin",36.55691431,114
"General Enabling Environment","Political and institutional","Benin",41.38441143,84
"Research, Development and Innovation","Research and development","Benin",16.49863565,80
"Research, Development and Innovation","Social innovation","Benin",6.125052659,131
"General Enabling Environment","Socio-economic","Benin",45.2071922,109
"Economy","Economic openness","Bhutan",27.64046075,120
"Pre-University Education","Educational enabling environment","Bhutan",50.6946103,101
"Technical and Vocational Education and Training","Features of the labour market","Bhutan",49.22395358,73
"Economy","Financing and value added","Bhutan",30.54908318,103
"Technical and Vocational Education and Training","Formation and professional training","Bhutan",44.17547824,91
"General Enabling Environment","Health and environment","Bhutan",68.09099836,85
"Higher Education","Higher education inputs","Bhutan",49.86125241,43
"Higher Education","Higher education outputs and quality","Bhutan",26.68150604,103
"Information and Communications Technology","ICT inputs","Bhutan",50.5335294,90
"Information and Communications Technology","ICT outputs","Bhutan",34.78308522,95
"Research, Development and Innovation","Innovation in production","Bhutan",19.94481388,86
"Pre-University Education","Knowledge capital","Bhutan",59.32470712,53
"Economy","Knowledge competitiveness","Bhutan",47.20354701,67
"General Enabling Environment","Political and institutional","Bhutan",67.56463023,41
"Research, Development and Innovation","Research and development","Bhutan",8.221162585,127
"Research, Development and Innovation","Social innovation","Bhutan",29.54387151,47
"General Enabling Environment","Socio-economic","Bhutan",43.52869074,112
"Economy","Economic openness","Bolivia (Plurinational State of)",30.58066542,111
"Pre-University Education","Educational enabling environment","Bolivia (Plurinational State of)",55.15181345,88
"Technical and Vocational Education and Training","Features of the labour market","Bolivia (Plurinational State of)",36.90831464,126
"Economy","Financing and value added","Bolivia (Plurinational State of)",28.26994935,109
"Technical and Vocational Education and Training","Formation and professional training","Bolivia (Plurinational State of)",75.88791195,8
"General Enabling Environment","Health and environment","Bolivia (Plurinational State of)",64.64643028,100
"Higher Education","Higher education inputs","Bolivia (Plurinational State of)",46.43337736,64
"Higher Education","Higher education outputs and quality","Bolivia (Plurinational State of)",19.14584718,123
"Information and Communications Technology","ICT inputs","Bolivia (Plurinational State of)",39.60099298,114
"Information and Communications Technology","ICT outputs","Bolivia (Plurinational State of)",23.64916402,121
"Research, Development and Innovation","Innovation in production","Bolivia (Plurinational State of)",13.6638648,113
"Pre-University Education","Knowledge capital","Bolivia (Plurinational State of)",56.39851298,62
"Economy","Knowledge competitiveness","Bolivia (Plurinational State of)",36.2372033,116
"General Enabling Environment","Political and institutional","Bolivia (Plurinational State of)",31.70152729,112
"Research, Development and Innovation","Research and development","Bolivia (Plurinational State of)",9.844168598,118
"Research, Development and Innovation","Social innovation","Bolivia (Plurinational State of)",14.0745342,107
"General Enabling Environment","Socio-economic","Bolivia (Plurinational State of)",67.16193434,29
"Economy","Economic openness","Botswana",48.11257696,46
"Pre-University Education","Educational enabling environment","Botswana",52.08774027,97
"Technical and Vocational Education and Training","Features of the labour market","Botswana",33.8803811,131
"Economy","Financing and value added","Botswana",26.66734222,111
"Technical and Vocational Education and Training","Formation and professional training","Botswana",80.493166,5
"General Enabling Environment","Health and environment","Botswana",59.68678501,108
"Higher Education","Higher education inputs","Botswana",55.45719066,24
"Higher Education","Higher education outputs and quality","Botswana",25.38890935,108
"Information and Communications Technology","ICT inputs","Botswana",46.14385258,102
"Information and Communications Technology","ICT outputs","Botswana",27.89067516,109
"Research, Development and Innovation","Innovation in production","Botswana",10.55265883,125
"Pre-University Education","Knowledge capital","Botswana",46.87618772,99
"Economy","Knowledge competitiveness","Botswana",41.71816149,97
"General Enabling Environment","Political and institutional","Botswana",70.64988621,38
"Research, Development and Innovation","Research and development","Botswana",19.83591523,64
"Research, Development and Innovation","Social innovation","Botswana",15.39894816,104
"General Enabling Environment","Socio-economic","Botswana",45.38447318,108
"Economy","Economic openness","Brazil",45.15522492,61
"Pre-University Education","Educational enabling environment","Brazil",55.58032211,85
"Technical and Vocational Education and Training","Features of the labour market","Brazil",46.63586121,85
"Economy","Financing and value added","Brazil",35.69916423,83
"Technical and Vocational Education and Training","Formation and professional training","Brazil",53.47799359,51
"General Enabling Environment","Health and environment","Brazil",77.60651515,45
"Higher Education","Higher education inputs","Brazil",48.36131641,51
"Higher Education","Higher education outputs and quality","Brazil",39.54285354,57
"Information and Communications Technology","ICT inputs","Brazil",56.72157391,75
"Information and Communications Technology","ICT outputs","Brazil",49.03862797,60
"Research, Development and Innovation","Innovation in production","Brazil",33.02713294,44
"Pre-University Education","Knowledge capital","Brazil",48.93136349,90
"Economy","Knowledge competitiveness","Brazil",40.71663443,100
"General Enabling Environment","Political and institutional","Brazil",41.18218476,86
"Research, Development and Innovation","Research and development","Brazil",24.31202095,46
"Research, Development and Innovation","Social innovation","Brazil",19.68757221,79
"General Enabling Environment","Socio-economic","Brazil",53.03579351,84
"Economy","Economic openness","Brunei Darussalam",30.04651203,113
"Pre-University Education","Educational enabling environment","Brunei Darussalam",69.42255792,23
"Technical and Vocational Education and Training","Features of the labour market","Brunei Darussalam",49.51272986,72
"Economy","Financing and value added","Brunei Darussalam",54.12419412,26
"Technical and Vocational Education and Training","Formation and professional training","Brunei Darussalam",45.08596335,87
"General Enabling Environment","Health and environment","Brunei Darussalam",69.73875873,78
"Higher Education","Higher education inputs","Brunei Darussalam",56.27179863,22
"Higher Education","Higher education outputs and quality","Brunei Darussalam",45.30837778,41
"Information and Communications Technology","ICT inputs","Brunei Darussalam",51.20843353,88
"Information and Communications Technology","ICT outputs","Brunei Darussalam",52.27725945,48
"Research, Development and Innovation","Innovation in production","Brunei Darussalam",22.5713208,80
"Pre-University Education","Knowledge capital","Brunei Darussalam",65.26000808,42
"Economy","Knowledge competitiveness","Brunei Darussalam",51.05776149,48
"General Enabling Environment","Political and institutional","Brunei Darussalam",71.98821526,34
"Research, Development and Innovation","Research and development","Brunei Darussalam",29.40035304,37
"Research, Development and Innovation","Social innovation","Brunei Darussalam",12.42306953,112
"General Enabling Environment","Socio-economic","Brunei Darussalam",61.92977219,47
"Economy","Economic openness","Bulgaria",46.02299107,58
"Pre-University Education","Educational enabling environment","Bulgaria",55.74234997,84
"Technical and Vocational Education and Training","Features of the labour market","Bulgaria",41.98286176,107
"Economy","Financing and value added","Bulgaria",45.80213559,49
"Technical and Vocational Education and Training","Formation and professional training","Bulgaria",56.22885475,35
"General Enabling Environment","Health and environment","Bulgaria",73.42324217,66
"Higher Education","Higher education inputs","Bulgaria",46.15363518,67
"Higher Education","Higher education outputs and quality","Bulgaria",40.22559272,54
"Information and Communications Technology","ICT inputs","Bulgaria",77.9633909,15
"Information and Communications Technology","ICT outputs","Bulgaria",50.70517329,55
"Research, Development and Innovation","Innovation in production","Bulgaria",34.21340142,42
"Pre-University Education","Knowledge capital","Bulgaria",43.42248017,102
"Economy","Knowledge competitiveness","Bulgaria",45.35809115,74
"General Enabling Environment","Political and institutional","Bulgaria",59.07440964,53
"Research, Development and Innovation","Research and development","Bulgaria",21.01670615,59
"Research, Development and Innovation","Social innovation","Bulgaria",34.70158311,31
"General Enabling Environment","Socio-economic","Bulgaria",63.90857646,38
"Economy","Economic openness","Burkina Faso",29.42927702,116
"Pre-University Education","Educational enabling environment","Burkina Faso",32.66513053,122
"Technical and Vocational Education and Training","Features of the labour market","Burkina Faso",42.64759436,104
"Economy","Financing and value added","Burkina Faso",21.47183941,125
"Technical and Vocational Education and Training","Formation and professional training","Burkina Faso",48.29422671,76
"General Enabling Environment","Health and environment","Burkina Faso",44.56744378,126
"Higher Education","Higher education inputs","Burkina Faso",59.27844416,15
"Higher Education","Higher education outputs and quality","Burkina Faso",18.89220974,125
"Information and Communications Technology","ICT inputs","Burkina Faso",35.52989362,117
"Information and Communications Technology","ICT outputs","Burkina Faso",25.90820879,115
"Research, Development and Innovation","Innovation in production","Burkina Faso",14.38182857,110
"Pre-University Education","Knowledge capital","Burkina Faso",23.86506316,130
"Economy","Knowledge competitiveness","Burkina Faso",31.77460006,129
"General Enabling Environment","Political and institutional","Burkina Faso",36.44119672,102
"Research, Development and Innovation","Research and development","Burkina Faso",14.3711298,90
"Research, Development and Innovation","Social innovation","Burkina Faso",4.813624328,135
"General Enabling Environment","Socio-economic","Burkina Faso",29.00099752,133
"Economy","Economic openness","Burundi",15.16876471,132
"Pre-University Education","Educational enabling environment","Burundi",45.92946211,107
"Technical and Vocational Education and Training","Features of the labour market","Burundi",56.72240894,45
"Economy","Financing and value added","Burundi",19.69421883,130
"Technical and Vocational Education and Training","Formation and professional training","Burundi",33.31622221,122
"General Enabling Environment","Health and environment","Burundi",51.10473993,119
"Higher Education","Higher education inputs","Burundi",46.12319137,68
"Higher Education","Higher education outputs and quality","Burundi",35.02845416,80
"Information and Communications Technology","ICT inputs","Burundi",20.81770139,129
"Information and Communications Technology","ICT outputs","Burundi",11.60344881,133
"Research, Development and Innovation","Innovation in production","Burundi",14.17325413,112
"Pre-University Education","Knowledge capital","Burundi",34.62924986,123
"Economy","Knowledge competitiveness","Burundi",26.74129228,132
"General Enabling Environment","Political and institutional","Burundi",14.56221629,133
"Research, Development and Innovation","Research and development","Burundi",9.102069989,124
"Research, Development and Innovation","Social innovation","Burundi",10.02435249,118
"General Enabling Environment","Socio-economic","Burundi",55.23161992,76
"Economy","Economic openness","Cabo Verde",19.75380845,130
"Pre-University Education","Educational enabling environment","Cabo Verde",69.45311626,22
"Technical and Vocational Education and Training","Features of the labour market","Cabo Verde",44.66130429,92
"Economy","Financing and value added","Cabo Verde",34.41073986,91
"Technical and Vocational Education and Training","Formation and professional training","Cabo Verde",49.80635115,68
"General Enabling Environment","Health and environment","Cabo Verde",74.6711142,61
"Higher Education","Higher education inputs","Cabo Verde",49.25074322,48
"Higher Education","Higher education outputs and quality","Cabo Verde",19.18916219,122
"Information and Communications Technology","ICT inputs","Cabo Verde",45.73818602,103
"Information and Communications Technology","ICT outputs","Cabo Verde",36.76780162,92
"Research, Development and Innovation","Innovation in production","Cabo Verde",25.37523703,67
"Pre-University Education","Knowledge capital","Cabo Verde",46.98332941,98
"Economy","Knowledge competitiveness","Cabo Verde",57.52576656,34
"General Enabling Environment","Political and institutional","Cabo Verde",63.86670687,51
"Research, Development and Innovation","Research and development","Cabo Verde",7.310619591,131
"Research, Development and Innovation","Social innovation","Cabo Verde",12.89417088,109
"General Enabling Environment","Socio-economic","Cabo Verde",47.72744553,100
"Economy","Economic openness","Cambodia",42.51775385,70
"Pre-University Education","Educational enabling environment","Cambodia",40.79162815,115
"Technical and Vocational Education and Training","Features of the labour market","Cambodia",40.45284972,117
"Economy","Financing and value added","Cambodia",38.13100897,74
"Technical and Vocational Education and Training","Formation and professional training","Cambodia",73.9838748,10
"General Enabling Environment","Health and environment","Cambodia",68.890506,80
"Higher Education","Higher education inputs","Cambodia",32.94387868,121
"Higher Education","Higher education outputs and quality","Cambodia",24.2494428,110
"Information and Communications Technology","ICT inputs","Cambodia",54.72322371,79
"Information and Communications Technology","ICT outputs","Cambodia",33.18717459,99
"Research, Development and Innovation","Innovation in production","Cambodia",13.2517177,115
"Pre-University Education","Knowledge capital","Cambodia",49.08892117,89
"Economy","Knowledge competitiveness","Cambodia",42.81645125,92
"General Enabling Environment","Political and institutional","Cambodia",37.54843702,98
"Research, Development and Innovation","Research and development","Cambodia",10.72934458,115
"Research, Development and Innovation","Social innovation","Cambodia",16.96886861,95
"General Enabling Environment","Socio-economic","Cambodia",48.25337857,96
"Economy","Economic openness","Cameroon",27.32501199,122
"Pre-University Education","Educational enabling environment","Cameroon",34.86171267,121
"Technical and Vocational Education and Training","Features of the labour market","Cameroon",67.77188077,18
"Economy","Financing and value added","Cameroon",24.76699465,117
"Technical and Vocational Education and Training","Formation and professional training","Cameroon",45.45603755,84
"General Enabling Environment","Health and environment","Cameroon",42.43827274,127
"Higher Education","Higher education inputs","Cameroon",19.90468024,135
"Higher Education","Higher education outputs and quality","Cameroon",29.87931311,91
"Information and Communications Technology","ICT inputs","Cameroon",27.87582028,125
"Information and Communications Technology","ICT outputs","Cameroon",24.20945284,119
"Research, Development and Innovation","Innovation in production","Cameroon",18.3941896,93
"Pre-University Education","Knowledge capital","Cameroon",37.59227972,117
"Economy","Knowledge competitiveness","Cameroon",40.28657241,103
"General Enabling Environment","Political and institutional","Cameroon",23.33219052,128
"Research, Development and Innovation","Research and development","Cameroon",19.9919049,63
"Research, Development and Innovation","Social innovation","Cameroon",7.374918427,126
"General Enabling Environment","Socio-economic","Cameroon",52.71899192,85
"Economy","Economic openness","Canada",58.53544908,17
"Pre-University Education","Educational enabling environment","Canada",29.8705265,125
"Technical and Vocational Education and Training","Features of the labour market","Canada",78.96669377,4
"Economy","Financing and value added","Canada",55.75442674,22
"Technical and Vocational Education and Training","Formation and professional training","Canada",35.83229274,121
"General Enabling Environment","Health and environment","Canada",78.52022129,38
"Higher Education","Higher education inputs","Canada",61.66844574,12
"Higher Education","Higher education outputs and quality","Canada",64.92832066,4
"Information and Communications Technology","ICT inputs","Canada",74.15712735,23
"Information and Communications Technology","ICT outputs","Canada",72.35437211,18
"Research, Development and Innovation","Innovation in production","Canada",40.90520179,29
"Pre-University Education","Knowledge capital","Canada",67.55095041,31
"Economy","Knowledge competitiveness","Canada",64.73247977,16
"General Enabling Environment","Political and institutional","Canada",90.67173735,9
"Research, Development and Innovation","Research and development","Canada",47.87230136,17
"Research, Development and Innovation","Social innovation","Canada",39.44285634,18
"General Enabling Environment","Socio-economic","Canada",68.4880955,26
"Pre-University Education","Educational enabling environment","Chad",14.39538586,136
"Technical and Vocational Education and Training","Features of the labour market","Chad",41.83684622,110
"Economy","Financing and value added","Chad",8.684874504,135
"Technical and Vocational Education and Training","Formation and professional training","Chad",38.78557564,110
"General Enabling Environment","Health and environment","Chad",29.88097648,135
"Higher Education","Higher education inputs","Chad",42.20063898,89
