"Pillar","Subpillar","Country","Value","Rank"
"Higher education outputs and quality","Graduation","Norway",41.3593880600642,72
"Higher education outputs and quality","Graduation","Oman",50.4169746591963,45
"Higher education outputs and quality","Graduation","Pakistan",NA,NA
"Higher education outputs and quality","Graduation","Panama",59.4504490484433,17
"Higher education outputs and quality","Graduation","Paraguay",NA,NA
"Higher education outputs and quality","Graduation","Peru",51.6593145645538,39
"Higher education outputs and quality","Graduation","Philippines",34.323940184424,91
"Higher education outputs and quality","Graduation","Poland",56.9185650425547,27
"Higher education outputs and quality","Graduation","Portugal",42.2303198975107,70
"Higher education outputs and quality","Graduation","Qatar",37.3107231018847,83
"Higher education outputs and quality","Graduation","Romania",44.2532920462378,64
"Higher education outputs and quality","Graduation","Russian Federation",61.0854226873959,14
"Higher education outputs and quality","Graduation","Rwanda",49.1457076675698,52
"Higher education outputs and quality","Graduation","Saudi Arabia",24.731346103454,107
"Higher education outputs and quality","Graduation","Senegal",40.939041919124,73
"Higher education outputs and quality","Graduation","Serbia",34.8729399417728,90
"Higher education outputs and quality","Graduation","Seychelles",46.2338257600766,59
"Higher education outputs and quality","Graduation","Singapore",59.0570015088742,21
"Higher education outputs and quality","Graduation","Slovakia",63.8945614564274,11
"Higher education outputs and quality","Graduation","Slovenia",46.6913312378754,57
"Higher education outputs and quality","Graduation","South Africa",42.6403840133131,68
"Higher education outputs and quality","Graduation","Spain",54.3011358441391,32
"Higher education outputs and quality","Graduation","Sri Lanka",38.3388999907099,77
"Higher education outputs and quality","Graduation","Sweden",36.6135084804775,86
"Higher education outputs and quality","Graduation","Switzerland",59.9054772305481,15
"Higher education outputs and quality","Graduation","Syrian Arab Republic",26.2675134255308,105
"Higher education outputs and quality","Graduation","Tajikistan",58.4302390835949,23
"Higher education outputs and quality","Graduation","Tanzania (United Republic of)",33.5087879711647,94
"Higher education outputs and quality","Graduation","Thailand",35.8538734813481,87
"Higher education outputs and quality","Graduation","Togo",NA,NA
"Higher education outputs and quality","Graduation","Tunisia",44.2053769094543,66
"Higher education outputs and quality","Graduation","Turkey",23.6371345760782,110
"Higher education outputs and quality","Graduation","Uganda",NA,NA
"Higher education outputs and quality","Graduation","Ukraine",59.1067836936776,19
"Higher education outputs and quality","Graduation","United Arab Emirates",37.3849394382019,82
"Higher education outputs and quality","Graduation","United Kingdom",71.0556232767155,4
"Higher education outputs and quality","Graduation","United States",51.2789028785106,41
"Higher education outputs and quality","Graduation","Uruguay",NA,NA
"Higher education outputs and quality","Graduation","Venezuela (Bolivarian Republic of)",NA,NA
"Higher education outputs and quality","Graduation","Viet Nam",44.5589496448967,63
"Higher education outputs and quality","Graduation","Zimbabwe",67.7601573062023,5
"Higher education outputs and quality","Employment after graduation","Albania",32.6318671845684,113
"Higher education outputs and quality","Employment after graduation","Algeria",33.843797856049,111
"Higher education outputs and quality","Employment after graduation","Angola",31.4485867569952,117
"Higher education outputs and quality","Employment after graduation","Armenia",42.9771406549496,95
"Higher education outputs and quality","Employment after graduation","Australia",73.3266229222235,22
"Higher education outputs and quality","Employment after graduation","Austria",70.6715312921513,31
"Higher education outputs and quality","Employment after graduation","Azerbaijan",60.6241696500106,50
"Higher education outputs and quality","Employment after graduation","Bahrain",53.2364633936087,63
"Higher education outputs and quality","Employment after graduation","Bangladesh",36.9679421518615,107
"Higher education outputs and quality","Employment after graduation","Barbados",NA,NA
"Higher education outputs and quality","Employment after graduation","Belarus",85.1576524040851,2
"Higher education outputs and quality","Employment after graduation","Belgium",78.5975071752381,10
"Higher education outputs and quality","Employment after graduation","Belize",58.1802784905125,53
"Higher education outputs and quality","Employment after graduation","Benin",32.2764013265316,115
"Higher education outputs and quality","Employment after graduation","Bhutan",23.4787481111122,125
"Higher education outputs and quality","Employment after graduation","Bolivia (Plurinational State of)",55.1628753689036,61
"Higher education outputs and quality","Employment after graduation","Botswana",50.4568826506293,78
"Higher education outputs and quality","Employment after graduation","Brazil",52.2884699248502,73
"Higher education outputs and quality","Employment after graduation","Brunei Darussalam",53.2154194091458,64
"Higher education outputs and quality","Employment after graduation","Bulgaria",69.4050890946523,35
"Higher education outputs and quality","Employment after graduation","Burkina Faso",31.9680942770504,116
"Higher education outputs and quality","Employment after graduation","Burundi",25.8153910124438,122
"Higher education outputs and quality","Employment after graduation","Cabo Verde",50.7735565854994,77
"Higher education outputs and quality","Employment after graduation","Cambodia",48.373274646816,82
"Higher education outputs and quality","Employment after graduation","Cameroon",32.5101670334574,114
"Higher education outputs and quality","Employment after graduation","Canada",92.5496688741722,1
"Higher education outputs and quality","Employment after graduation","Chad",NA,NA
"Higher education outputs and quality","Employment after graduation","Chile",52.0524223400911,74
"Higher education outputs and quality","Employment after graduation","China",NA,NA
"Higher education outputs and quality","Employment after graduation","Colombia",53.0620265103496,67
"Higher education outputs and quality","Employment after graduation","Congo (Democratic Republic of the)",34.9046175065667,108
"Higher education outputs and quality","Employment after graduation","Costa Rica",55.6326886605884,59
"Higher education outputs and quality","Employment after graduation","Croatia",61.9010070687504,46
"Higher education outputs and quality","Employment after graduation","Cyprus",72.1157064186688,27
"Higher education outputs and quality","Employment after graduation","Czechia",66.7086701215987,39
"Higher education outputs and quality","Employment after graduation","Côte d'Ivoire",33.2449316957902,112
"Higher education outputs and quality","Employment after graduation","Denmark",70.4831495999107,32
"Higher education outputs and quality","Employment after graduation","Dominican Republic",55.0802206829407,62
"Higher education outputs and quality","Employment after graduation","Ecuador",52.9527499163311,68
"Higher education outputs and quality","Employment after graduation","Egypt",29.9704370049593,118
"Higher education outputs and quality","Employment after graduation","El Salvador",47.3238643854649,89
"Higher education outputs and quality","Employment after graduation","Estonia",74.7565996977779,20
"Higher education outputs and quality","Employment after graduation","Eswatini (Kingdom of)",42.4064176546353,97
"Higher education outputs and quality","Employment after graduation","Ethiopia",41.5190207194507,101
"Higher education outputs and quality","Employment after graduation","Finland",75.677464174518,17
"Higher education outputs and quality","Employment after graduation","France",71.2404794985954,29
"Higher education outputs and quality","Employment after graduation","Gambia",50,80
"Higher education outputs and quality","Employment after graduation","Georgia",50.3962861170553,79
"Higher education outputs and quality","Employment after graduation","Germany",68.7656562173565,36
"Higher education outputs and quality","Employment after graduation","Ghana",44.6127399774855,92
"Higher education outputs and quality","Employment after graduation","Greece",52.6127501191647,71
"Higher education outputs and quality","Employment after graduation","Guatemala",48.197316511668,84
"Higher education outputs and quality","Employment after graduation","Guinea",NA,NA
"Higher education outputs and quality","Employment after graduation","Guyana",46.1380485380769,91
"Higher education outputs and quality","Employment after graduation","Honduras",41.5519811770433,100
"Higher education outputs and quality","Employment after graduation","Hong Kong, China (SAR)",73.0680101011125,23
"Higher education outputs and quality","Employment after graduation","Hungary",67.3605265559871,38
"Higher education outputs and quality","Employment after graduation","Iceland",76.1929150228695,16
"Higher education outputs and quality","Employment after graduation","India",34.3290772086042,109
"Higher education outputs and quality","Employment after graduation","Indonesia",49.9416853442593,81
"Higher education outputs and quality","Employment after graduation","Iran (Islamic Republic of)",NA,NA
"Higher education outputs and quality","Employment after graduation","Ireland",79.2493636096265,8
"Higher education outputs and quality","Employment after graduation","Israel",71.3979290690953,28
"Higher education outputs and quality","Employment after graduation","Italy",56.7832621725505,55
"Higher education outputs and quality","Employment after graduation","Japan",83.3407705647901,4
"Higher education outputs and quality","Employment after graduation","Jordan",48.0132450331126,86
"Higher education outputs and quality","Employment after graduation","Kazakhstan",72.8920519659645,25
"Higher education outputs and quality","Employment after graduation","Kenya",39.9315943733963,102
"Higher education outputs and quality","Employment after graduation","Korea (Republic of)",77.9994016409237,13
"Higher education outputs and quality","Employment after graduation","Kuwait",28.3307810107198,120
"Higher education outputs and quality","Employment after graduation","Kyrgyzstan",51.2246077705546,76
"Higher education outputs and quality","Employment after graduation","Lao People's Democratic Republic",48.0832226200014,85
"Higher education outputs and quality","Employment after graduation","Latvia",71.0688315771325,30
"Higher education outputs and quality","Employment after graduation","Lebanon",NA,NA
"Higher education outputs and quality","Employment after graduation","Lesotho",NA,NA
"Higher education outputs and quality","Employment after graduation","Lithuania",78.3781933612567,12
"Higher education outputs and quality","Employment after graduation","Luxembourg",76.9667251503504,15
"Higher education outputs and quality","Employment after graduation","Madagascar",39.3086417248968,103
"Higher education outputs and quality","Employment after graduation","Malawi",34.1348640507895,110
"Higher education outputs and quality","Employment after graduation","Malaysia",60.9119397989919,48
"Higher education outputs and quality","Employment after graduation","Mali",20.6083993387625,126
"Higher education outputs and quality","Employment after graduation","Malta",69.4547833230226,34
"Higher education outputs and quality","Employment after graduation","Mauritania",29.5259779114226,119
"Higher education outputs and quality","Employment after graduation","Mauritius",53.2009675162013,65
"Higher education outputs and quality","Employment after graduation","Mexico",56.3053355374583,57
"Higher education outputs and quality","Employment after graduation","Moldova (Republic of)",63.1035566869162,43
"Higher education outputs and quality","Employment after graduation","Mongolia",62.3127592466761,45
"Higher education outputs and quality","Employment after graduation","Morocco",27.8660385586645,121
"Higher education outputs and quality","Employment after graduation","Mozambique",39.2280153747858,104
"Higher education outputs and quality","Employment after graduation","Myanmar",53.172317272294,66
"Higher education outputs and quality","Employment after graduation","Namibia",38.2364126852124,106
"Higher education outputs and quality","Employment after graduation","Nepal",42.8308469316349,96
"Higher education outputs and quality","Employment after graduation","Netherlands",73.6681439712788,21
"Higher education outputs and quality","Employment after graduation","New Zealand",67.5983489346166,37
"Higher education outputs and quality","Employment after graduation","North Macedonia",38.9189476993601,105
"Higher education outputs and quality","Employment after graduation","Norway",79.0528685739785,9
"Higher education outputs and quality","Employment after graduation","Oman",NA,NA
"Higher education outputs and quality","Employment after graduation","Pakistan",44.4471770635782,93
"Higher education outputs and quality","Employment after graduation","Panama",56.5061407867915,56
"Higher education outputs and quality","Employment after graduation","Paraguay",56.2495563015324,58
"Higher education outputs and quality","Employment after graduation","Peru",64.6534588197114,41
"Higher education outputs and quality","Employment after graduation","Philippines",56.8141942942913,54
"Higher education outputs and quality","Employment after graduation","Poland",73.0411346510755,24
"Higher education outputs and quality","Employment after graduation","Portugal",60.903572913603,49
"Higher education outputs and quality","Employment after graduation","Qatar",62.6484488301573,44
"Higher education outputs and quality","Employment after graduation","Romania",61.6198290112877,47
"Higher education outputs and quality","Employment after graduation","Russian Federation",81.1159396772917,7
"Higher education outputs and quality","Employment after graduation","Rwanda",23.7000902609454,124
"Higher education outputs and quality","Employment after graduation","Saudi Arabia",52.7412959037757,69
"Higher education outputs and quality","Employment after graduation","Senegal",24.5238481587781,123
"Higher education outputs and quality","Employment after graduation","Serbia",51.5037574921655,75
"Higher education outputs and quality","Employment after graduation","Seychelles",81.3912862691804,6
"Higher education outputs and quality","Employment after graduation","Singapore",84.725109783678,3
"Higher education outputs and quality","Employment after graduation","Slovakia",63.7926837925824,42
"Higher education outputs and quality","Employment after graduation","Slovenia",70.392128028559,33
"Higher education outputs and quality","Employment after graduation","South Africa",42.0131740413578,99
"Higher education outputs and quality","Employment after graduation","Spain",65.5223471902478,40
"Higher education outputs and quality","Employment after graduation","Sri Lanka",43.4228674583938,94
"Higher education outputs and quality","Employment after graduation","Sweden",75.2160177682221,19
"Higher education outputs and quality","Employment after graduation","Switzerland",75.305011003722,18
"Higher education outputs and quality","Employment after graduation","Syrian Arab Republic",NA,NA
"Higher education outputs and quality","Employment after graduation","Tajikistan",52.6981937669239,70
"Higher education outputs and quality","Employment after graduation","Tanzania (United Republic of)",42.2702656105798,98
"Higher education outputs and quality","Employment after graduation","Thailand",59.6145654797521,51
"Higher education outputs and quality","Employment after graduation","Togo",47.2325892721317,90
"Higher education outputs and quality","Employment after graduation","Tunisia",14.3950995405819,127
"Higher education outputs and quality","Employment after graduation","Turkey",47.7310528077239,87
"Higher education outputs and quality","Employment after graduation","Uganda",48.217853412168,83
"Higher education outputs and quality","Employment after graduation","Ukraine",77.8460087421275,14
"Higher education outputs and quality","Employment after graduation","United Arab Emirates",72.2670709816131,26
"Higher education outputs and quality","Employment after graduation","United Kingdom",78.4920337109419,11
"Higher education outputs and quality","Employment after graduation","United States",82.0908085960873,5
"Higher education outputs and quality","Employment after graduation","Uruguay",55.6121517600884,60
"Higher education outputs and quality","Employment after graduation","Venezuela (Bolivarian Republic of)",59.2788758962709,52
"Higher education outputs and quality","Employment after graduation","Viet Nam",52.4892751741833,72
"Higher education outputs and quality","Employment after graduation","Zimbabwe",47.3423729501131,88
"Higher education outputs and quality","Quality of universities","Albania",17.7787010404662,96
"Higher education outputs and quality","Quality of universities","Algeria",33.2773005687783,63
"Higher education outputs and quality","Quality of universities","Angola",0,135
"Higher education outputs and quality","Quality of universities","Armenia",15.6225324590173,109
"Higher education outputs and quality","Quality of universities","Australia",62.5611098900044,20
"Higher education outputs and quality","Quality of universities","Austria",62.8112115893331,19
"Higher education outputs and quality","Quality of universities","Azerbaijan",40.6995148807785,51
"Higher education outputs and quality","Quality of universities","Bahrain",22.4958549322679,85
"Higher education outputs and quality","Quality of universities","Bangladesh",17.6159932531842,98
"Higher education outputs and quality","Quality of universities","Barbados",12.4121097234597,114
"Higher education outputs and quality","Quality of universities","Belarus",23.3376160743683,82
"Higher education outputs and quality","Quality of universities","Belgium",66.0474918849599,15
"Higher education outputs and quality","Quality of universities","Belize",6.61095254200525,128
"Higher education outputs and quality","Quality of universities","Benin",15.7317136040643,108
"Higher education outputs and quality","Quality of universities","Bhutan",16.5238459291339,106
"Higher education outputs and quality","Quality of universities","Bolivia (Plurinational State of)",7.41995592321063,127
"Higher education outputs and quality","Quality of universities","Botswana",16.7303440096852,104
"Higher education outputs and quality","Quality of universities","Brazil",50.878703815898,36
"Higher education outputs and quality","Quality of universities","Brunei Darussalam",30.4276596940891,69
"Higher education outputs and quality","Quality of universities","Bulgaria",26.8789798960212,74
"Higher education outputs and quality","Quality of universities","Burkina Faso",11.3991322858496,119
"Higher education outputs and quality","Quality of universities","Burundi",20.3455323667359,89
"Higher education outputs and quality","Quality of universities","Cabo Verde",17.5864355471817,99
"Higher education outputs and quality","Quality of universities","Cambodia",16.6121757071423,105
"Higher education outputs and quality","Quality of universities","Cameroon",19.6123141259204,90
"Higher education outputs and quality","Quality of universities","Canada",72.8445538406435,8
"Higher education outputs and quality","Quality of universities","Chad",8.37909304592114,126
"Higher education outputs and quality","Quality of universities","Chile",45.4405937465997,43
"Higher education outputs and quality","Quality of universities","China",75.404851059302,6
"Higher education outputs and quality","Quality of universities","Colombia",42.8769815141114,46
"Higher education outputs and quality","Quality of universities","Congo (Democratic Republic of the)",6.49798820085554,129
"Higher education outputs and quality","Quality of universities","Costa Rica",34.7796512427642,60
"Higher education outputs and quality","Quality of universities","Croatia",19.1005693899627,93
"Higher education outputs and quality","Quality of universities","Cyprus",32.570519755953,64
"Higher education outputs and quality","Quality of universities","Czechia",51.9124507363407,34
"Higher education outputs and quality","Quality of universities","Côte d'Ivoire",11.8284242393514,117
"Higher education outputs and quality","Quality of universities","Denmark",64.7412939055688,16
"Higher education outputs and quality","Quality of universities","Dominican Republic",15.3770561034725,110
"Higher education outputs and quality","Quality of universities","Ecuador",26.6790785796353,75
"Higher education outputs and quality","Quality of universities","Egypt",43.2465086939697,45
"Higher education outputs and quality","Quality of universities","El Salvador",9.00548265209259,125
"Higher education outputs and quality","Quality of universities","Estonia",38.8353567631595,56
"Higher education outputs and quality","Quality of universities","Eswatini (Kingdom of)",11.3370646048047,121
"Higher education outputs and quality","Quality of universities","Ethiopia",18.9464916393309,94
"Higher education outputs and quality","Quality of universities","Finland",72.6141597110447,9
"Higher education outputs and quality","Quality of universities","France",71.3324082606987,11
"Higher education outputs and quality","Quality of universities","Gambia",4.18946069275237,132
"Higher education outputs and quality","Quality of universities","Georgia",18.6253447067589,95
"Higher education outputs and quality","Quality of universities","Germany",82.9140124166588,3
"Higher education outputs and quality","Quality of universities","Ghana",31.6434122999997,65
"Higher education outputs and quality","Quality of universities","Greece",30.4353201365637,68
"Higher education outputs and quality","Quality of universities","Guatemala",17.4026644577279,102
"Higher education outputs and quality","Quality of universities","Guinea",41.9951696236217,47
"Higher education outputs and quality","Quality of universities","Guyana",23.9871411152922,80
"Higher education outputs and quality","Quality of universities","Honduras",17.5316160852138,101
"Higher education outputs and quality","Quality of universities","Hong Kong, China (SAR)",62.0655039634341,21
"Higher education outputs and quality","Quality of universities","Hungary",40.0676514726841,52
"Higher education outputs and quality","Quality of universities","Iceland",48.0859247413289,41
"Higher education outputs and quality","Quality of universities","India",60.8012711633877,22
"Higher education outputs and quality","Quality of universities","Indonesia",51.6421569306148,35
"Higher education outputs and quality","Quality of universities","Iran (Islamic Republic of)",39.611392651358,53
"Higher education outputs and quality","Quality of universities","Ireland",64.3783090609144,17
"Higher education outputs and quality","Quality of universities","Israel",71.5898603620801,10
"Higher education outputs and quality","Quality of universities","Italy",63.605979085093,18
"Higher education outputs and quality","Quality of universities","Japan",77.7287081588018,4
"Higher education outputs and quality","Quality of universities","Jordan",39.2310584335291,55
"Higher education outputs and quality","Quality of universities","Kazakhstan",41.5277914036492,49
"Higher education outputs and quality","Quality of universities","Kenya",34.2365025364347,61
"Higher education outputs and quality","Quality of universities","Korea (Republic of)",66.8985686388875,14
"Higher education outputs and quality","Quality of universities","Kuwait",28.7071250091886,71
"Higher education outputs and quality","Quality of universities","Kyrgyzstan",10.3503460773599,123
"Higher education outputs and quality","Quality of universities","Lao People's Democratic Republic",22.7089016043925,84
"Higher education outputs and quality","Quality of universities","Latvia",38.5083738815953,57
"Higher education outputs and quality","Quality of universities","Lebanon",39.2678989798567,54
"Higher education outputs and quality","Quality of universities","Lesotho",16.7555156883224,103
"Higher education outputs and quality","Quality of universities","Lithuania",43.5316876504574,44
"Higher education outputs and quality","Quality of universities","Luxembourg",51.9877194239323,33
"Higher education outputs and quality","Quality of universities","Madagascar",13.0890207209182,113
"Higher education outputs and quality","Quality of universities","Malawi",11.9944276356724,115
"Higher education outputs and quality","Quality of universities","Malaysia",67.5112204197321,13
"Higher education outputs and quality","Quality of universities","Mali",19.375230436675,91
"Higher education outputs and quality","Quality of universities","Malta",23.3183754992523,83
"Higher education outputs and quality","Quality of universities","Mauritania",2.9880516800535,134
"Higher education outputs and quality","Quality of universities","Mauritius",11.8364831185446,116
"Higher education outputs and quality","Quality of universities","Mexico",48.3674700353497,39
"Higher education outputs and quality","Quality of universities","Moldova (Republic of)",10.2101851473542,124
"Higher education outputs and quality","Quality of universities","Mongolia",11.5773177848301,118
"Higher education outputs and quality","Quality of universities","Morocco",25.7042483904816,77
"Higher education outputs and quality","Quality of universities","Mozambique",14.4605563400704,111
"Higher education outputs and quality","Quality of universities","Myanmar",3.87865445379863,133
"Higher education outputs and quality","Quality of universities","Namibia",21.6882753845107,87
"Higher education outputs and quality","Quality of universities","Nepal",19.3173911287373,92
"Higher education outputs and quality","Quality of universities","Netherlands",74.4898601497067,7
"Higher education outputs and quality","Quality of universities","New Zealand",58.6888406779793,24
"Higher education outputs and quality","Quality of universities","North Macedonia",11.3546892253674,120
"Higher education outputs and quality","Quality of universities","Norway",57.5271114416688,26
"Higher education outputs and quality","Quality of universities","Oman",33.6043683998984,62
"Higher education outputs and quality","Quality of universities","Pakistan",49.2431269810146,38
"Higher education outputs and quality","Quality of universities","Panama",22.3313520378608,86
"Higher education outputs and quality","Quality of universities","Paraguay",5.90417111202898,131
"Higher education outputs and quality","Quality of universities","Peru",23.6492923908603,81
"Higher education outputs and quality","Quality of universities","Philippines",48.3494832345145,40
"Higher education outputs and quality","Quality of universities","Poland",41.7771125753609,48
"Higher education outputs and quality","Quality of universities","Portugal",53.4484198036999,31
"Higher education outputs and quality","Quality of universities","Qatar",49.3790709321971,37
"Higher education outputs and quality","Quality of universities","Romania",38.4049187616554,58
"Higher education outputs and quality","Quality of universities","Russian Federation",57.6143283157138,25
"Higher education outputs and quality","Quality of universities","Rwanda",17.6902250297572,97
"Higher education outputs and quality","Quality of universities","Saudi Arabia",53.3331979860698,32
"Higher education outputs and quality","Quality of universities","Senegal",17.5639628732446,100
"Higher education outputs and quality","Quality of universities","Serbia",30.564221955606,67
"Higher education outputs and quality","Quality of universities","Seychelles",24.7223310294526,79
"Higher education outputs and quality","Quality of universities","Singapore",60.6399783579042,23
"Higher education outputs and quality","Quality of universities","Slovakia",29.5377039355022,70
"Higher education outputs and quality","Quality of universities","Slovenia",35.7179428315746,59
"Higher education outputs and quality","Quality of universities","South Africa",53.7783767104294,30
"Higher education outputs and quality","Quality of universities","Spain",53.7797920635126,29
"Higher education outputs and quality","Quality of universities","Sri Lanka",25.184602649068,78
"Higher education outputs and quality","Quality of universities","Sweden",70.7941049180914,12
"Higher education outputs and quality","Quality of universities","Switzerland",75.6403038929652,5
"Higher education outputs and quality","Quality of universities","Syrian Arab Republic",5.91484113188861,130
"Higher education outputs and quality","Quality of universities","Tajikistan",26.4142953768444,76
"Higher education outputs and quality","Quality of universities","Tanzania (United Republic of)",31.1951350831254,66
"Higher education outputs and quality","Quality of universities","Thailand",54.3430281738176,28
"Higher education outputs and quality","Quality of universities","Togo",0,135
"Higher education outputs and quality","Quality of universities","Tunisia",27.4272669581506,72
"Higher education outputs and quality","Quality of universities","Turkey",47.7791754643449,42
"Higher education outputs and quality","Quality of universities","Uganda",27.4136349570296,73
"Higher education outputs and quality","Quality of universities","Ukraine",41.1147400644598,50
"Higher education outputs and quality","Quality of universities","United Arab Emirates",56.1012014189126,27
"Higher education outputs and quality","Quality of universities","United Kingdom",85.0270733698615,2
"Higher education outputs and quality","Quality of universities","United States",97.7574631081438,1
"Higher education outputs and quality","Quality of universities","Uruguay",16.1730827492301,107
